#Region,Chromosome,Start_position,End_position,Pass_or_flag,Read count,Median coverage,Minimum coverage,Median quality coverage,Minimum quality coverage,Maximum fraction of low mapping quality,Maximum fraction of low base quality
chr1_p36.23_002_rs571086877,chr1,7707278,7707398,FLAG,23,20.0,8,19.0,7,0.0,0.235
chr1_p36.23_003_rs2066980,chr1,7928121,7928241,FLAG,20,18.0,10,18.0,9,0.0,0.1
chr1_p36.23_004_rs12027657,chr1,8361252,8361372,FLAG,23,16.0,2,16.0,2,0.0,0.091
chr1_p36.23_005_rs35288526,chr1,8361560,8361680,FLAG,31,25.0,9,25.0,8,0.0,0.111
chr1_p36.23_006_rs2274328,chr1,9009384,9009504,FLAG,21,19.0,12,19.0,12,0.0,0.059
chr1_p36.22_001_rs732950,chr1,9309686,9309806,FLAG,34,29.0,17,29.0,17,0.0,0.034
chr1_p36.22_002_rs9430648,chr1,9749875,9749995,FLAG,3,3.0,3,3.0,0,0.0,1.0
chr1_p36.22_003_rs2295294,chr1,10190824,10190944,FLAG,14,13.0,5,13.0,5,0.0,0.0
chr1_p36.22_004_rs4845930,chr1,10318989,10319109,FLAG,47,41.0,33,41.0,33,0.0,0.028
chr1_p36.22_005_rs7419116,chr1,10578546,10578666,FLAG,31,28.0,9,28.0,9,0.0,0.067
chr1_p36.22_006_rs12732550,chr1,10964110,10964230,FLAG,42,36.0,27,36.0,26,0.0,0.088
chr1_p36.22_007_rs7511819,chr1,11451879,11451999,FLAG,23,21.5,13,21.0,13,0.0,0.067
chr1_p36.22_008_rs1883573,chr1,11772466,11772586,FLAG,14,12.0,6,12.0,6,0.0,0.143
chr1_p36.22_009_rs61776480,chr1,11986475,11986595,FLAG,8,8.0,6,8.0,5,0.0,0.167
chr1_p36.22_010_rs1061624,chr1,12267205,12267325,FLAG,40,37.0,19,37.0,19,0.0,0.036
chr1_p36.22_011_rs58584542,chr1,12658004,12658124,FLAG,42,35.0,14,35.0,14,0.0,0.059
chr1_p36.21_001_rs147031341,chr1,12987554,12987674,FLAG,20,18.0,9,0.0,0,1.0,0.059
chr1_p36.21_002_rs2999878,chr1,13786562,13786682,FLAG,47,36.0,26,36.0,26,0.0,0.048
chr1_p36.21_003_rs5772546,chr1,13945117,13945237,FLAG,39,33.0,16,32.5,15,0.0,0.095
chr1_p36.21_004_rs10927994,chr1,14340168,14340288,FLAG,35,35.0,21,34.0,20,0.0,0.143
chr1_p36.21_005_rs11589133,chr1,14630266,14630386,FLAG,22,20.0,9,20.0,9,0.0,0.111
chr1_p36.21_006_rs7512426,chr1,14985298,14985418,FLAG,25,20.0,11,20.0,11,0.0,0.056
chr1_p36.21_007_rs869712,chr1,15344343,15344463,FLAG,20,18.0,9,18.0,8,0.0,0.273
chr1_p36.21_008_rs536364,chr1,15613418,15613538,FLAG,39,31.0,10,31.0,9,0.0,0.125
chr1_p36.21_009_rs10737911,chr1,16167795,16167915,FLAG,18,16.0,9,16.0,9,0.0,0.091
chr1_p36.13_001_rs3888951,chr1,16324034,16324154,FLAG,16,14.0,5,14.0,5,0.0,0.143
chr1_p36.13_002_rs11260738,chr1,16700733,16700853,FLAG,24,21.0,13,20.5,12,0.0,0.077
chr1_p36.13_003_rs112195933,chr1,17323859,17323979,FLAG,4,4.0,2,3.0,1,0.0,0.667
chr1_p36.13_004_rs12035959,chr1,17656575,17656695,FLAG,28,24.5,9,23.5,9,0.0,0.111
chr1_p36.13_005_rs1193338,chr1,17929920,17930040,FLAG,43,34.0,11,34.0,10,0.0,0.091
chr1_p36.13_006_rs11203252,chr1,18323850,18323970,FLAG,21,17.0,10,17.0,10,0.0,0.0
chr1_p36.13_007_rs223167,chr1,18651886,18652006,FLAG,49,44.0,10,43.0,10,0.0,0.056
chr1_p36.13_008_rs111618204,chr1,18968387,18968507,FLAG,7,6.0,2,6.0,2,0.0,0.167
chr1_p36.13_009_rs1078894,chr1,19331433,19331553,FLAG,16,15.0,14,15.0,14,0.0,0.067
chr1_p36.13_010_rs183339,chr1,19664351,19664471,FLAG,58,47.0,30,46.0,29,0.0,0.065
chr1_p36.13_011_rs35989027,chr1,19983803,19983923,FLAG,0,0.0,0,0.0,0,.,.
chr1_p36.13_012_rs35342858,chr1,20348236,20348356,FLAG,4,4.0,2,4.0,2,0.0,0.25
chr1_p36.12_001_rs4655190,chr1,20632107,20632227,FLAG,34,29.0,16,29.0,15,0.0,0.077
chr1_p36.12_002_rs67188527,chr1,20996426,20996546,FLAG,8,8.0,3,7.0,3,0.0,0.143
chr1_p36.12_003_rs12731277,chr1,21194523,21194643,FLAG,31,29.0,23,28.0,23,0.0,0.133
chr1_p36.12_004_rs7540855,chr1,21672125,21672245,FLAG,22,16.0,5,16.0,5,0.0,0.143
chr1_p36.12_005_rs829398,chr1,21996788,21996908,FLAG,26,19.0,12,19.0,12,0.0,0.077
chr1_p36.12_006_rs4415533,chr1,22303642,22303762,FLAG,11,11.0,7,11.0,7,0.0,0.091
chr1_p36.12_007_rs10917214,chr1,22652441,22652561,FLAG,31,29.0,18,29.0,18,0.0,0.067
chr1_p36.12_008_rs292011,chr1,22989106,22989226,FLAG,48,39.0,18,39.0,18,0.0,0.057
chr1_p36.12_009_rs6426779,chr1,23310425,23310545,FLAG,43,34.0,17,34.0,16,0.0,0.059
chr1_p36.12_010_rs3218211,chr1,23835734,23835854,FLAG,13,12.0,4,12.0,4,0.0,0.091
chr1_p36.11_001_rs2864099,chr1,23972549,23972669,FLAG,21,20.0,16,20.0,16,0.0,0.05
chr1_p36.11_002_rs72540327,chr1,24288416,24288536,FLAG,18,18.0,6,17.0,6,0.0,0.118
chr1_p36.11_003_rs6671571,chr1,24635110,24635230,FLAG,38,37.0,14,37.0,14,0.0,0.053
chr1_p36.11_004_rs9661044,chr1,24932882,24933002,FLAG,34,30.0,11,30.0,11,0.0,0.061
chr1_p36.11_005_rs12041604,chr1,25309199,25309319,FLAG,25,21.0,9,21.0,9,0.0,0.048
chr1_p36.11_006_rs6600268,chr1,25508211,25508331,FLAG,19,18.0,11,18.0,11,0.0,0.077
chr1_p36.11_007_rs575346127,chr1,25993388,25993508,FLAG,17,16.0,5,16.0,5,0.0,0.143
chr1_p36.11_008_rs3762459,chr1,26494826,26494946,FLAG,41,37.0,14,37.0,14,0.0,0.111
chr1_p36.11_009_rs11247894,chr1,26597613,26597733,FLAG,29,25.0,13,25.0,13,0.0,0.045
chr1_p36.11_010_rs11389104,chr1,26745300,26745420,FLAG,29,26.0,16,26.0,16,0.0,0.059
chr1_p35.3_001_rs1467464,chr1,28211590,28211710,FLAG,28,26.0,13,26.0,13,0.0,0.107
chr1_p35.3_002_rs4243820,chr1,28292679,28292799,FLAG,50,42.0,25,42.0,25,0.0,0.074
chr1_p35.3_003_rs11415888,chr1,29037180,29037300,FLAG,27,26.0,13,26.0,13,0.0,0.115
chr1_p35.3_004_rs553253,chr1,29445454,29445574,FLAG,30,22.0,11,22.0,11,0.0,0.091
chr1_p35.3_005_rs10915252,chr1,29649814,29649934,FLAG,67,54.0,21,54.0,21,0.0,0.021
chr1_p35.3_006_rs113711260,chr1,30028339,30028459,FLAG,16,14.0,5,14.0,5,0.0,0.077
chr1_p35.2_001_rs12030673,chr1,30284030,30284150,FLAG,44,37.0,17,37.0,17,0.0,0.135
chr1_p35.2_002_rs267654,chr1,30557605,30557725,FLAG,33,26.0,12,26.0,12,0.0,0.067
chr1_p35.2_003_rs379605,chr1,30988470,30988590,FLAG,30,27.0,13,26.0,13,0.0,0.107
chr1_p35.2_004_rs2488229,chr1,31320321,31320441,FLAG,6,5.0,1,5.0,1,0.0,0.0
chr1_p35.2_005_rs10798836,chr1,31709154,31709274,FLAG,15,12.0,6,12.0,6,0.0,0.111
chr1_p35.2_006_rs10158294,chr1,31976667,31976787,FLAG,42,35.0,18,35.0,18,0.0,0.053
chr1_p35.2_007_rs68058315,chr1,32314240,32314360,FLAG,47,41.0,30,40.0,30,0.0,0.156
chr1_p35.1_001_rs699006,chr1,33199307,33199427,FLAG,45,37.0,22,37.0,21,0.0,0.087
chr1_p35.1_002_rs200262373,chr1,33402274,33402394,FLAG,49,45.0,13,45.0,13,0.0,0.133
chr1_p35.1_003_rs7526544,chr1,33751043,33751163,FLAG,17,15.0,11,15.0,11,0.0,0.077
chr1_p35.1_004_rs11333218,chr1,33979820,33979940,FLAG,7,7.0,5,7.0,5,0.0,0.286
chr1_p35.1_005_rs35897729,chr1,34314351,34314471,FLAG,43,39.5,22,38.0,21,0.0,0.163
chr1_p34.3_001_rs57364092,chr1,34624879,34624999,FLAG,25,23.5,8,23.0,8,0.0,0.28
chr1_p34.3_002_rs10493058,chr1,34988894,34989014,FLAG,22,17.0,10,17.0,10,0.0,0.143
chr1_p34.3_003_rs512161,chr1,35269835,35269955,FLAG,17,14.5,8,14.5,8,0.0,0.167
chr1_p34.3_004_rs11264172,chr1,35368371,35368491,FLAG,62,51.0,28,51.0,28,0.0,0.047
chr1_p34.3_005_rs3754080,chr1,36616277,36616397,FLAG,38,34.0,20,34.0,19,0.0,0.095
chr1_p34.3_006_rs2296263,chr1,36641669,36641789,FLAG,45,39.0,9,39.0,8,0.0,0.385
chr1_p34.3_007_rs6667860,chr1,36958153,36958273,FLAG,47,37.0,14,37.0,14,0.0,0.056
chr1_p34.3_008_rs7545247,chr1,37202037,37202157,FLAG,40,31.0,17,31.0,17,0.0,0.042
chr1_p34.3_009_rs592520,chr1,37513443,37513563,FLAG,13,12.0,2,12.0,2,0.0,0.25
chr1_p34.3_010_rs145062262,chr1,37967647,37967767,FLAG,23,22.0,14,22.0,14,0.0,0.083
chr1_p34.3_011_rs564190989,chr1,38228197,38228317,FLAG,41,38.0,7,37.0,7,0.0,0.073
chr1_p34.3_012_rs928158,chr1,38719859,38719979,FLAG,35,26.0,12,26.0,12,0.0,0.071
chr1_p34.3_013_rs2992443,chr1,38960977,38961097,FLAG,36,28.0,18,28.0,18,0.0,0.071
chr1_p34.3_014_rs112189577,chr1,39280699,39280819,FLAG,27,26.0,12,25.0,11,0.0,0.083
chr1_p34.3_015_rs10715454,chr1,39579794,39579914,FLAG,10,10.0,4,10.0,4,0.0,0.111
chr1_p34.3_016_rs687848,chr1,39919174,39919294,FLAG,34,29.0,17,29.0,16,0.0,0.238
chr1_p34.2_001_rs3768310,chr1,40308337,40308457,FLAG,3,3.0,2,3.0,2,0.0,0.333
chr1_p34.2_002_rs5773686,chr1,40541089,40541209,FLAG,21,18.0,10,18.0,10,0.0,0.176
chr1_p34.2_003_rs4607875,chr1,40975200,40975320,FLAG,36,33.0,10,33.0,9,0.0,0.154
chr1_p34.2_004_rs1571257,chr1,41289154,41289274,FLAG,52,46.0,21,45.0,21,0.0,0.05
chr1_p34.2_005_rs4453027,chr1,41453393,41453513,FLAG,27,25.0,16,25.0,16,0.0,0.045
chr1_p34.2_006_rs2991346,chr1,41962371,41962491,FLAG,10,9.5,2,9.0,2,0.0,0.1
chr1_p34.2_007_rs6678302,chr1,42331119,42331239,FLAG,28,25.0,11,25.0,11,0.0,0.074
chr1_p34.2_008_rs9943167,chr1,42551192,42551312,FLAG,22,19.0,11,19.0,11,0.0,0.133
chr1_p34.2_009_rs4660227,chr1,42930615,42930735,FLAG,30,27.0,9,27.0,9,0.0,0.103
chr1_p34.2_010_rs3214967,chr1,43309323,43309443,FLAG,31,27.0,20,27.0,19,0.0,0.05
chr1_p34.2_011_rs641350,chr1,43611170,43611290,FLAG,37,31.0,16,31.0,16,0.0,0.097
chr1_p34.2_012_rs72887212,chr1,43979042,43979162,FLAG,35,28.0,14,28.0,14,0.0,0.074
chr1_p34.1_001_rs3828139,chr1,44252955,44253075,FLAG,17,15.0,4,15.0,4,0.0,0.118
chr1_p34.1_002_rs375887615,chr1,44605940,44606060,FLAG,33,15.0,8,7.0,1,0.958,0.111
chr1_p34.1_003_rs12120800,chr1,45005940,45006060,FLAG,26,23.0,13,22.5,13,0.0,0.05
chr1_p34.1_004_rs6696675,chr1,45308349,45308469,FLAG,51,43.0,29,42.5,29,0.0,0.061
chr1_p34.1_005_rs7551698,chr1,45504660,45504780,FLAG,30,24.0,13,24.0,13,0.0,0.103
chr1_p34.1_006_rs2275276,chr1,45973868,45973988,FLAG,36,30.0,11,30.0,11,0.0,0.097
chr1_p34.1_007_rs6701614,chr1,46309360,46309480,FLAG,17,16.0,10,16.0,10,0.0,0.083
chr1_p34.1_008_rs6671303,chr1,46629593,46629713,FLAG,22,18.0,11,18.0,10,0.0,0.158
chr1_p33_001_rs4660939,chr1,46944745,46944865,FLAG,43,38.5,19,38.5,19,0.0,0.054
chr1_p33_002_rs2297812,chr1,47276668,47276788,FLAG,42,38.5,11,38.5,11,0.0,0.067
chr1_p33_003_rs2245122,chr1,47645935,47646055,FLAG,50,40.0,17,40.0,17,0.0,0.125
chr1_p33_004_rs1316443,chr1,47907602,47907722,FLAG,36,31.0,15,31.0,14,0.0,0.125
chr1_p33_005_rs11211620,chr1,48318629,48318749,FLAG,15,15.0,10,15.0,8,0.0,0.267
chr1_p33_006_rs214203,chr1,48587944,48588064,FLAG,29,23.0,8,20.5,8,0.2,0.087
chr1_p33_007_rs4926742,chr1,48996819,48996939,FLAG,34,32.5,19,32.0,18,0.0,0.308
chr1_p33_008_rs67289988,chr1,49307012,49307132,FLAG,13,13.0,6,12.0,6,0.0,0.273
chr1_p33_009_rs2494887,chr1,50592541,50592661,FLAG,13,12.0,11,12.0,10,0.0,0.091
chr1_p33_010_rs34330798,chr1,50644576,50644696,FLAG,37,34.0,14,33.0,14,0.0,0.118
chr1_p32.3_001_rs138950929,chr1,52535911,52536031,FLAG,12,11.0,9,11.0,8,0.0,0.111
chr1_p32.3_002_rs706497,chr1,53114676,53114796,FLAG,34,29.0,16,29.0,16,0.0,0.088
chr1_p32.3_003_rs7523761,chr1,53250855,53250975,FLAG,20,18.0,7,18.0,7,0.0,0.231
chr1_p32.3_004_rs1679965,chr1,53592957,53593077,FLAG,42,38.0,25,38.0,25,0.0,0.036
chr1_p32.3_005_rs12739933,chr1,54003688,54003808,FLAG,18,16.0,9,16.0,9,0.0,0.133
chr1_p32.3_006_rs808860,chr1,54196869,54196989,FLAG,19,16.0,8,16.0,8,0.0,0.118
chr1_p32.3_007_rs4927066,chr1,54656591,54656711,FLAG,28,25.0,16,25.0,16,0.0,0.105
chr1_p32.3_008_rs300279,chr1,55035209,55035329,FLAG,44,40.0,12,40.0,12,0.0,0.043
chr1_p32.3_009_rs757581,chr1,55271714,55271834,FLAG,34,29.0,21,29.0,19,0.0,0.174
chr1_p32.3_010_rs113069542,chr1,55672270,55672390,FLAG,28,24.0,12,23.0,11,0.0,0.143
chr1_p32.3_011_rs574299730;rs552787696,chr1,55939647,55939767,FLAG,16,16.0,4,16.0,4,0.0,0.2
chr1_p32.2_001_rs10650586,chr1,56291902,56292022,FLAG,59,50.0,36,50.0,34,0.0,0.094
chr1_p32.2_002_rs1230004,chr1,56614702,56614822,FLAG,9,9.0,3,9.0,3,0.0,0.25
chr1_p32.2_003_rs4628,chr1,56961696,56961816,FLAG,35,32.0,8,32.0,8,0.0,0.091
chr1_p32.2_004_rs1774822,chr1,57246602,57246722,FLAG,32,26.0,10,26.0,10,0.0,0.08
chr1_p32.2_005_rs1053,chr1,57671603,57671723,FLAG,11,11.0,5,11.0,5,0.0,0.091
chr1_p32.2_006_rs4912271,chr1,58090491,58090611,FLAG,12,12.0,6,12.0,6,0.0,0.167
chr1_p32.2_007_rs852779,chr1,58294704,58294824,FLAG,16,14.0,9,13.0,8,0.0,0.167
chr1_p32.2_008_rs3121907,chr1,58540776,58540896,FLAG,29,28.0,17,28.0,17,0.0,0.182
chr1_p32.2_009_rs706463,chr1,58926136,58926256,FLAG,15,13.0,9,13.0,9,0.0,0.083
chr1_p32.1_001_rs12142126,chr1,59347033,59347153,FLAG,26,22.0,9,22.0,9,0.0,0.143
chr1_p32.1_002_rs11295616,chr1,59630813,59630933,FLAG,12,11.0,7,11.0,6,0.0,0.167
chr1_p32.1_003_rs1188236,chr1,59951645,59951765,FLAG,29,26.0,10,26.0,8,0.0,0.2
chr1_p32.1_004_rs632489,chr1,60232132,60232252,FLAG,28,27.0,9,26.0,9,0.0,0.05
chr1_p32.1_005_rs7535371,chr1,60646132,60646252,FLAG,8,8.0,5,8.0,5,0.0,0.143
chr1_p32.1_006_rs4291531,chr1,60942304,60942424,FLAG,12,11.0,9,11.0,9,0.0,0.0
chr1_p31.3_001_rs10493299,chr1,61359335,61359455,FLAG,31,26.0,7,26.0,7,0.0,0.16
chr1_p31.3_002_rs333149,chr1,61679997,61680117,FLAG,33,27.0,10,27.0,10,0.0,0.103
chr1_p31.3_003_rs570911766;rs570911766;rs552434937;rs530910096,chr1,61921125,61921245,FLAG,37,30.0,22,29.0,22,0.0,0.108
chr1_p31.3_004_rs61770137,chr1,62275838,62275958,FLAG,40,39.0,13,39.0,13,0.0,0.081
chr1_p31.3_005_rs927531,chr1,62634737,62634857,FLAG,16,12.0,8,12.0,8,0.0,0.1
chr1_p31.3_006_rs584998,chr1,62892168,62892288,FLAG,15,13.0,6,13.0,6,0.0,0.25
chr1_p31.3_007_rs6695607,chr1,63306172,63306292,FLAG,17,14.0,8,14.0,8,0.0,0.1
chr1_p31.3_008_rs11585289,chr1,63605541,63605661,FLAG,42,37.0,13,37.0,13,0.0,0.133
chr1_p31.3_009_rs217478,chr1,63991207,63991327,FLAG,14,13.0,7,13.0,7,0.0,0.111
chr1_p31.3_010_rs3831887,chr1,64118183,64118303,FLAG,25,20.0,10,20.0,10,0.0,0.08
chr1_p31.3_011_rs2762834,chr1,64616331,64616451,FLAG,6,6.0,2,6.0,2,0.0,0.167
chr1_p31.3_012_rs67350761,chr1,64903435,64903555,FLAG,26,25.0,15,25.0,13,0.0,0.278
chr1_p31.3_013_rs35945175,chr1,65372627,65372747,FLAG,45,42.0,18,42.0,18,0.0,0.083
chr1_p31.3_014_rs10789175,chr1,65662921,65663041,FLAG,8,8.0,2,7.5,1,0.0,0.5
chr1_p31.3_015_rs2296479,chr1,65830239,65830359,FLAG,95,87.0,56,86.0,53,0.0,0.086
chr1_p31.3_016_rs10789204,chr1,66309002,66309122,FLAG,38,33.0,26,33.0,25,0.0,0.079
chr1_p31.3_017_rs2503166,chr1,66619518,66619638,FLAG,29,23.0,10,23.0,10,0.0,0.077
chr1_p31.3_018_rs814146,chr1,66945298,66945418,FLAG,37,31.0,14,31.0,14,0.0,0.053
chr1_p31.3_019_rs36067642,chr1,67292418,67292538,FLAG,15,15.0,10,14.0,10,0.083,0.133
chr1_p31.3_020_rs1884444,chr1,67633752,67633872,FLAG,35,31.0,19,31.0,19,0.0,0.103
chr1_p31.3_021_rs10789238,chr1,68032055,68032175,FLAG,7,7.0,4,7.0,4,0.0,0.286
chr1_p31.3_022_rs11209163,chr1,68299231,68299351,FLAG,18,16.0,5,16.0,5,0.0,0.071
chr1_p31.3_023_rs1367448,chr1,68633864,68633984,FLAG,18,17.0,8,17.0,8,0.0,0.059
chr1_p31.2_001_rs11269074,chr1,68900797,68900917,FLAG,32,26.0,14,26.0,14,0.0,0.083
chr1_p31.2_002_rs3030061,chr1,69244217,69244337,FLAG,27,23.0,10,23.0,10,0.0,0.111
chr1_p31.2_003_rs11209397,chr1,69614522,69614642,FLAG,24,22.5,16,22.0,16,0.0,0.125
chr1_p31.1_001_rs142386763,chr1,69971311,69971431,FLAG,8,8.0,6,8.0,4,0.0,0.333
chr1_p31.1_002_rs12734666,chr1,70296991,70297111,FLAG,32,28.0,16,27.5,16,0.0,0.156
chr1_p31.1_003_rs6424382,chr1,70596475,70596595,FLAG,28,22.0,13,22.0,13,0.0,0.095
chr1_p31.1_004_rs12129044,chr1,70942290,70942410,FLAG,22,19.0,7,19.0,7,0.0,0.077
chr1_p31.1_005_rs2260497,chr1,71256447,71256567,FLAG,34,32.0,10,32.0,10,0.0,0.059
chr1_p31.1_006_rs5680,chr1,71477255,71477375,FLAG,18,17.0,8,16.0,6,0.0,0.4
chr1_p31.1_007_rs58078187,chr1,71957200,71957320,FLAG,62,56.0,12,55.0,12,0.0,0.059
chr1_p31.1_008_rs495411,chr1,72293573,72293693,FLAG,6,6.0,4,6.0,3,0.0,0.25
chr1_p31.1_009_rs2630406,chr1,72590805,72590925,FLAG,5,5.0,2,5.0,2,0.0,0.333
chr1_p31.1_010_rs556947906,chr1,73719280,73719400,FLAG,16,15.0,10,15.0,10,0.0,0.188
chr1_p31.1_011_rs35574321,chr1,74161843,74161963,FLAG,5,5.0,1,5.0,1,0.0,0.4
chr1_p31.1_012_rs6696503,chr1,74357039,74357159,FLAG,33,31.0,8,31.0,8,0.0,0.083
chr1_p31.1_013_rs36109808,chr1,74949836,74949956,FLAG,2,2.0,1,2.0,1,0.0,0.5
chr1_p31.1_014_rs3845351,chr1,75027332,75027452,FLAG,27,20.0,9,20.0,9,0.0,0.118
chr1_p31.1_015_rs10715457,chr1,76018251,76018371,FLAG,29,27.0,8,26.0,8,0.0,0.241
chr1_p31.1_016_rs6675148,chr1,76745278,76745398,FLAG,30,25.0,17,25.0,17,0.0,0.148
chr1_p31.1_017_rs2392030,chr1,76784576,76784696,FLAG,34,29.5,19,29.0,18,0.0,0.095
chr1_p31.1_018_rs3113983,chr1,77397227,77397347,FLAG,16,16.0,6,16.0,5,0.0,0.167
chr1_p31.1_019_rs199675,chr1,77547771,77547891,FLAG,32,25.5,12,25.0,12,0.091,0.063
chr1_p31.1_020_rs11162355,chr1,77961014,77961134,FLAG,32,28.0,20,28.0,19,0.0,0.161
chr1_p31.1_021_rs72177898,chr1,78533825,78533945,FLAG,20,20.0,13,20.0,13,0.0,0.1
chr1_p31.1_022_rs658377,chr1,78688123,78688243,FLAG,21,20.0,10,20.0,10,0.0,0.1
chr1_p31.1_023_rs1555541,chr1,78961525,78961645,FLAG,20,20.0,4,20.0,4,0.0,0.167
chr1_p31.1_024_rs7522086,chr1,79293755,79293875,FLAG,23,21.0,12,21.0,12,0.0,0.063
chr1_p31.1_025_rs10782682,chr1,79622375,79622495,FLAG,28,24.0,11,24.0,11,0.0,0.118
chr1_p31.1_026_rs11365137,chr1,79989835,79989955,FLAG,49,40.0,15,39.5,14,0.0,0.143
chr1_p31.1_027_rs17425287,chr1,80286351,80286471,FLAG,23,20.0,12,20.0,11,0.0,0.095
chr1_p31.1_028_rs7544028,chr1,80629096,80629216,FLAG,15,13.0,7,13.0,7,0.0,0.071
chr1_p31.1_029_rs1538258,chr1,81267465,81267585,FLAG,19,16.0,9,16.0,9,0.0,0.118
chr1_p31.1_030_rs1195688,chr1,81608122,81608242,FLAG,14,13.0,6,13.0,6,0.0,0.143
chr1_p31.1_031_rs13375219,chr1,81928352,81928472,FLAG,0,0.0,0,0.0,0,.,.
chr1_p31.1_032_rs10782769,chr1,82268095,82268215,FLAG,39,35.0,20,34.5,20,0.0,0.051
chr1_p31.1_033_rs371904240,chr1,82652574,82652694,FLAG,24,23.0,14,21.0,13,0.0,0.143
chr1_p31.1_034_rs913181,chr1,82952971,82953091,FLAG,2,2.0,2,2.0,2,0.0,0.0
chr1_p31.1_035_rs11393746,chr1,83293271,83293391,FLAG,35,32.0,12,32.0,11,0.0,0.083
chr1_p31.1_036_rs6664860,chr1,83597241,83597361,FLAG,42,37.0,17,37.0,17,0.0,0.051
chr1_p31.1_037_rs575219683;rs10607994,chr1,83955915,83956035,FLAG,22,22.0,9,22.0,8,0.0,0.111
chr1_p31.1_038_rs2179763,chr1,84295801,84295921,FLAG,28,22.0,16,22.0,16,0.0,0.143
chr1_p31.1_039_rs6576963,chr1,84611938,84612058,FLAG,15,15.0,4,15.0,4,0.0,0.067
chr1_p22.3_001_rs4907070,chr1,84918136,84918256,FLAG,25,24.0,12,24.0,12,0.0,0.08
chr1_p22.3_002_rs9729034,chr1,85289688,85289808,FLAG,29,25.0,7,25.0,7,0.0,0.056
chr1_p22.3_003_rs6576749,chr1,85583102,85583222,FLAG,24,21.0,13,20.5,13,0.0,0.067
chr1_p22.3_004_rs11161622,chr1,85956531,85956651,FLAG,12,10.0,6,10.0,6,0.0,0.25
chr1_p22.3_005_rs313756,chr1,86279979,86280099,FLAG,14,13.0,10,12.0,10,0.0,0.091
chr1_p22.3_006_rs4656131,chr1,86621483,86621603,FLAG,35,29.0,8,29.0,8,0.0,0.036
chr1_p22.3_007_rs1321695,chr1,86947687,86947807,FLAG,25,19.0,9,19.0,9,0.0,0.158
chr1_p22.3_008_rs2753368,chr1,86981255,86981375,FLAG,25,22.0,10,22.0,10,0.0,0.05
chr1_p22.3_009_rs7546843,chr1,87699498,87699618,FLAG,35,28.0,14,28.0,13,0.0,0.133
chr1_p22.3_010_rs2026939,chr1,87936349,87936469,FLAG,29,23.0,13,23.0,13,0.0,0.071
chr1_p22.3_011_rs2491285,chr1,88294233,88294353,FLAG,20,17.0,6,17.0,6,0.0,0.143
chr1_p22.2_001_rs34477437,chr1,88603028,88603148,FLAG,33,31.0,17,31.0,16,0.0,0.059
chr1_p22.2_002_rs11402045,chr1,88971601,88971721,FLAG,21,18.0,8,18.0,8,0.0,0.143
chr1_p22.2_003_rs71084923,chr1,89123007,89123127,FLAG,10,10.0,3,10.0,2,0.0,0.333
chr1_p22.2_004_rs6692501,chr1,89935041,89935161,FLAG,20,20.0,4,20.0,4,0.0,0.167
chr1_p22.2_005_rs112014894,chr1,90282322,90282442,FLAG,16,12.0,11,12.0,11,0.0,0.083
chr1_p22.2_006_rs4466641,chr1,90601072,90601192,FLAG,33,31.0,7,31.0,7,0.0,0.077
